case,index,input,expected,actual,saturated,latency_cycles
multiplier_corner,0,0,0,0,0,13
multiplier_corner,1,1,0,0,0,13
multiplier_corner,2,-1,0,0,0,13
multiplier_corner,3,2147483647,0,0,0,13
multiplier_corner,4,-2147483648,0,0,0,13
multiplier_corner,5,305419896,0,0,0,13
multiplier_corner,6,-19088744,0,0,0,13
multiplier_corner,7,1073741825,0,0,0,13
multiplier_corner,8,0,0,0,0,13
multiplier_corner,9,1,0,0,0,13
multiplier_corner,10,-1,-1,-1,0,13
multiplier_corner,11,2147483647,1,1,0,13
multiplier_corner,12,-2147483648,-2,-2,0,13
multiplier_corner,13,305419896,0,0,0,13
multiplier_corner,14,-19088744,-1,-1,0,13
multiplier_corner,15,1073741825,1,1,0,13
multiplier_corner,16,0,0,0,0,13
multiplier_corner,17,1,-1,-1,0,13
multiplier_corner,18,-1,0,0,0,13
multiplier_corner,19,2147483647,-2,-2,0,13
multiplier_corner,20,-2147483648,2,2,0,13
multiplier_corner,21,305419896,-1,-1,0,13
multiplier_corner,22,-19088744,0,0,0,13
multiplier_corner,23,1073741825,-2,-2,0,13
multiplier_corner,24,0,0,0,0,13
multiplier_corner,25,1,0,0,0,13
multiplier_corner,26,-1,-1,-1,0,13
multiplier_corner,27,2147483647,1073741823,1073741823,0,13
multiplier_corner,28,-2147483648,-1073741824,-1073741824,0,13
multiplier_corner,29,305419896,152709948,152709948,0,13
multiplier_corner,30,-19088744,-9544372,-9544372,0,13
multiplier_corner,31,1073741825,536870912,536870912,0,13
multiplier_corner,32,0,0,0,0,13
multiplier_corner,33,1,-1,-1,0,13
multiplier_corner,34,-1,0,0,0,13
multiplier_corner,35,2147483647,-1073741824,-1073741824,0,13
multiplier_corner,36,-2147483648,1073741824,1073741824,0,13
multiplier_corner,37,305419896,-152709948,-152709948,0,13
multiplier_corner,38,-19088744,9544372,9544372,0,13
multiplier_corner,39,1073741825,-536870913,-536870913,0,13
multiplier_corner,40,0,0,0,0,13
multiplier_corner,41,1,1,1,0,13
multiplier_corner,42,-1,-2,-2,0,13
multiplier_corner,43,2147483647,2147483647,2147483647,1,13
multiplier_corner,44,-2147483648,-2147483648,-2147483648,1,13
multiplier_corner,45,305419896,610839791,610839791,0,13
multiplier_corner,46,-19088744,-38177488,-38177488,0,13
multiplier_corner,47,1073741825,2147483647,2147483647,1,13
multiplier_corner,48,0,0,0,0,13
multiplier_corner,49,1,-2,-2,0,13
multiplier_corner,50,-1,2,2,0,13
multiplier_corner,51,2147483647,-2147483648,-2147483648,1,13
multiplier_corner,52,-2147483648,2147483647,2147483647,1,13
multiplier_corner,53,305419896,-610839792,-610839792,0,13
multiplier_corner,54,-19088744,38177488,38177488,0,13
multiplier_corner,55,1073741825,-2147483648,-2147483648,1,13
multiplier_corner,56,0,0,0,0,13
